episode,agent0
1.000000000000000000e+00,-2.590374344814021867e+01
5.010000000000000000e+02,-2.279593231294866484e+01
1.001000000000000000e+03,-2.024544160553084282e+01
1.501000000000000000e+03,-1.745870023500754087e+01
2.001000000000000000e+03,-1.510139559339101289e+01
2.501000000000000000e+03,-1.298955869627147486e+01
3.001000000000000000e+03,-1.094426104113463794e+01
3.501000000000000000e+03,-9.653073198136382871e+00
4.001000000000000000e+03,-7.943647117448294992e+00
4.501000000000000000e+03,-6.945559579017409391e+00
5.001000000000000000e+03,-5.963174737345728005e+00
5.501000000000000000e+03,-5.299188905704007801e+00
6.001000000000000000e+03,-4.341359527252989459e+00
6.501000000000000000e+03,-3.877383802868161311e+00
7.001000000000000000e+03,-3.111219715574466527e+00
7.501000000000000000e+03,-2.907177369003532519e+00
8.001000000000000000e+03,-2.680823752748701772e+00
8.501000000000000000e+03,-2.542072389885587924e+00
9.001000000000000000e+03,-2.435815264025882776e+00
9.501000000000000000e+03,-2.227475266438525558e+00
1.000100000000000000e+04,-2.155710293922481480e+00
1.050100000000000000e+04,-2.103749412763740612e+00
1.100100000000000000e+04,-2.056233541218406735e+00
1.150100000000000000e+04,-1.955103416227810254e+00
1.200100000000000000e+04,-1.843390806306027141e+00
1.250100000000000000e+04,-1.973861997150872405e+00
1.300100000000000000e+04,-1.995256033914868166e+00
1.350100000000000000e+04,-2.142848673701525986e+00
1.400100000000000000e+04,-2.361362188980846710e+00
1.450100000000000000e+04,-2.081608411074180154e+00
1.500100000000000000e+04,-2.069740292142020710e+00
1.550100000000000000e+04,-1.951150950972385445e+00
1.600100000000000000e+04,-2.002550297527375456e+00
1.650100000000000000e+04,-1.986328662023605141e+00
1.700100000000000000e+04,-2.040558938571773506e+00
1.750100000000000000e+04,-1.951573053645115463e+00
1.800100000000000000e+04,-2.028788671934545373e+00
1.850100000000000000e+04,-2.095397936360414270e+00
1.900100000000000000e+04,-2.049987995539953367e+00
1.950100000000000000e+04,-1.773275539907867460e+00
2.000100000000000000e+04,-1.759125699148762934e+00
2.050100000000000000e+04,-1.732350532737165327e+00
2.100100000000000000e+04,-1.621249949804723034e+00
2.150100000000000000e+04,-1.613470735566487679e+00
2.200100000000000000e+04,-1.592703841781764718e+00
2.250100000000000000e+04,-1.574866493067708761e+00
2.300100000000000000e+04,-1.664743199180193312e+00
2.350100000000000000e+04,-1.712526552524890278e+00
2.400100000000000000e+04,-1.698606007334746870e+00
2.450100000000000000e+04,-1.735308713570774319e+00
2.500100000000000000e+04,-1.863694347047686994e+00
2.550100000000000000e+04,-1.865892513805233799e+00
2.600100000000000000e+04,-1.918955013274975974e+00
2.650100000000000000e+04,-1.735859212021082287e+00
2.700100000000000000e+04,-1.607393821047583327e+00
2.750100000000000000e+04,-1.617487039788567005e+00
2.800100000000000000e+04,-1.770949017079647581e+00
2.850100000000000000e+04,-1.644251728059586526e+00
