episode,score
1.090000000000000000e+02,2.922182247584860448e+01
1.100000000000000000e+02,2.931376024799539337e+01
1.110000000000000000e+02,2.939221281409385611e+01
1.120000000000000000e+02,2.950104198048187243e+01
1.130000000000000000e+02,2.961933508003502524e+01
1.140000000000000000e+02,2.966942719672771744e+01
1.150000000000000000e+02,2.964234219522544223e+01
1.160000000000000000e+02,2.982419158326154474e+01
1.170000000000000000e+02,3.004776664272140252e+01
1.180000000000000000e+02,3.002259011838114588e+01
1.190000000000000000e+02,2.988875773054759577e+01
1.200000000000000000e+02,3.022669261617206260e+01
1.210000000000000000e+02,3.030574701204030319e+01
1.220000000000000000e+02,3.049237274699806477e+01
1.230000000000000000e+02,3.057669390989828528e+01
1.240000000000000000e+02,3.061343805333816448e+01
1.250000000000000000e+02,3.075523185440199825e+01
1.260000000000000000e+02,3.057355804290969914e+01
1.270000000000000000e+02,3.068229736107593197e+01
1.280000000000000000e+02,3.075494213832417856e+01
1.290000000000000000e+02,3.100640385286065737e+01
1.300000000000000000e+02,3.091907396760007032e+01
1.310000000000000000e+02,3.105169580032988108e+01
1.320000000000000000e+02,3.120176839199460872e+01
1.330000000000000000e+02,3.091225712117267932e+01
1.340000000000000000e+02,3.117863463914893529e+01
1.350000000000000000e+02,3.135916601300650086e+01
1.360000000000000000e+02,3.132654500043923207e+01
1.370000000000000000e+02,3.152645636428577447e+01
1.380000000000000000e+02,3.153808660565396593e+01
1.390000000000000000e+02,3.171738935023519090e+01
1.400000000000000000e+02,3.181056926606592228e+01
1.410000000000000000e+02,3.167909914878709898e+01
1.420000000000000000e+02,3.191203406699139933e+01
1.430000000000000000e+02,3.205373377266453616e+01
1.440000000000000000e+02,3.206106172544544819e+01
1.450000000000000000e+02,3.198131198012848486e+01
1.460000000000000000e+02,3.223885754188817998e+01
1.470000000000000000e+02,3.225977908583831777e+01
1.480000000000000000e+02,3.221629321551527170e+01
1.490000000000000000e+02,3.249811978006056279e+01
1.500000000000000000e+02,3.241028414215003295e+01
1.510000000000000000e+02,3.251007131342225165e+01
1.520000000000000000e+02,3.288489059153860694e+01
1.530000000000000000e+02,3.295137132897804122e+01
1.540000000000000000e+02,3.295841847848175377e+01
1.550000000000000000e+02,3.287248283499563684e+01
1.560000000000000000e+02,3.292655143539775509e+01
1.570000000000000000e+02,3.309042323846576039e+01
1.580000000000000000e+02,3.307797807898189291e+01
1.590000000000000000e+02,3.325155065869171267e+01
1.600000000000000000e+02,3.336528370777278241e+01
1.610000000000000000e+02,3.336842274786723550e+01
1.620000000000000000e+02,3.343170359004297154e+01
1.630000000000000000e+02,3.353959062166009630e+01
1.640000000000000000e+02,3.373717332493676224e+01
1.650000000000000000e+02,3.377261060110450330e+01
1.660000000000000000e+02,3.398781099534587469e+01
1.670000000000000000e+02,3.399303667580443289e+01
1.680000000000000000e+02,3.418714131813406709e+01
1.690000000000000000e+02,3.404643625032952059e+01
1.700000000000000000e+02,3.442067458282227221e+01
1.710000000000000000e+02,3.434270391874181882e+01
1.720000000000000000e+02,3.413161259447257834e+01
1.730000000000000000e+02,3.414409673527599409e+01
1.740000000000000000e+02,3.454003131801902526e+01
1.750000000000000000e+02,3.443281485479995041e+01
1.760000000000000000e+02,3.467160092546345140e+01
1.770000000000000000e+02,3.474797456127032547e+01
1.780000000000000000e+02,3.464769250970097403e+01
1.790000000000000000e+02,3.486461872265158490e+01
1.800000000000000000e+02,3.474637734797352095e+01
1.810000000000000000e+02,3.498205169425594363e+01
1.820000000000000000e+02,3.495550917626882637e+01
1.830000000000000000e+02,3.510324777406027863e+01
1.840000000000000000e+02,3.519870828372145155e+01
1.850000000000000000e+02,3.521437702221568600e+01
1.860000000000000000e+02,3.536330941045220300e+01
1.870000000000000000e+02,3.525595454677212359e+01
1.880000000000000000e+02,3.551107118944872809e+01
1.890000000000000000e+02,3.544724883992741127e+01
1.900000000000000000e+02,3.560027274325992863e+01
1.910000000000000000e+02,3.590375625654962732e+01
1.920000000000000000e+02,3.582261340446133602e+01
1.930000000000000000e+02,3.596386343874831937e+01
1.940000000000000000e+02,3.610015692959747469e+01
1.950000000000000000e+02,3.622553701550387473e+01
1.960000000000000000e+02,3.611746388936759899e+01
1.970000000000000000e+02,3.625652216803358385e+01
1.980000000000000000e+02,3.644795184740617344e+01
1.990000000000000000e+02,3.639273755208574812e+01
2.000000000000000000e+02,3.630234562722709057e+01
2.010000000000000000e+02,3.656286189318175417e+01
2.020000000000000000e+02,3.668420655031911082e+01
2.030000000000000000e+02,3.645326745726383422e+01
2.040000000000000000e+02,3.664641426347321840e+01
2.050000000000000000e+02,3.686626093610092170e+01
2.060000000000000000e+02,3.678800806782128774e+01
2.070000000000000000e+02,3.676926309436642981e+01
2.080000000000000000e+02,3.691116263355953464e+01
2.090000000000000000e+02,3.698936749678438218e+01
2.100000000000000000e+02,3.700975995516051853e+01
2.110000000000000000e+02,3.718337225781757382e+01
2.120000000000000000e+02,3.706305907344811601e+01
2.130000000000000000e+02,3.722605771198381319e+01
2.140000000000000000e+02,3.733394725671922032e+01
2.150000000000000000e+02,3.725437003083311538e+01
2.160000000000000000e+02,3.726030838407984902e+01
2.170000000000000000e+02,3.724684358249241711e+01
2.180000000000000000e+02,3.727603289440672540e+01
2.190000000000000000e+02,3.752002771189913233e+01
2.200000000000000000e+02,3.745960993007349771e+01
2.210000000000000000e+02,3.764388196963692224e+01
2.220000000000000000e+02,3.767334717682192746e+01
2.230000000000000000e+02,3.765118219887916240e+01
2.240000000000000000e+02,3.768265378393020626e+01
2.250000000000000000e+02,3.788763580595150415e+01
2.260000000000000000e+02,3.772728141474877361e+01
2.270000000000000000e+02,3.783834351351750058e+01
2.280000000000000000e+02,3.794425203097164001e+01
2.290000000000000000e+02,3.787839772769768842e+01
2.300000000000000000e+02,3.812221785999177825e+01
2.310000000000000000e+02,3.796616830494149752e+01
2.320000000000000000e+02,3.828009917560551401e+01
2.330000000000000000e+02,3.813022797513924189e+01
2.340000000000000000e+02,3.826157320486031210e+01
2.350000000000000000e+02,3.854788769910060608e+01
2.360000000000000000e+02,3.842809715949895377e+01
2.370000000000000000e+02,3.842352494083151981e+01
2.380000000000000000e+02,3.866611125851461850e+01
2.390000000000000000e+02,3.852091471128524347e+01
2.400000000000000000e+02,3.859458065275795491e+01
2.410000000000000000e+02,3.863264198505373059e+01
2.420000000000000000e+02,3.875319764456382643e+01
2.430000000000000000e+02,3.864170703018670849e+01
2.440000000000000000e+02,3.886998423969376404e+01
2.450000000000000000e+02,3.910933002595412944e+01
2.460000000000000000e+02,3.882915956352737652e+01
2.470000000000000000e+02,3.882572845423639762e+01
2.480000000000000000e+02,3.887122121821953868e+01
2.490000000000000000e+02,3.887984411824203335e+01
2.500000000000000000e+02,3.883088178778077548e+01
